id,category,neighborhood,latitude,longitude,date
2025-00035,Illegal Dumping,Arlington Heights,34.053060,-118.318623,2024-03-07
2025-00033,Air Pollution,Arlington Heights,34.053060,-118.318623,2024-06-17
2025-00031,Water Waste,Arlington Heights,34.053060,-118.318623,2024-07-13
2025-00038,Water Waste,Arlington Heights,34.053060,-118.318623,2024-09-06
2025-00030,Air Pollution,Arlington Heights,34.053060,-118.318623,2024-10-06
2025-00028,Water Waste,Arlington Heights,34.053060,-118.318623,2024-11-20
2025-00032,Water Waste,Arlington Heights,34.053060,-118.318623,2024-11-25
2025-00034,Noise,Arlington Heights,34.053060,-118.318623,2024-12-24
2025-00037,Air Pollution,Arlington Heights,34.053060,-118.318623,2024-12-26
2025-00055,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-01-05
2025-00050,Air Pollution,Atwater Village,34.153209,-118.278856,2024-01-17
2025-00065,Noise,Atwater Village,34.153209,-118.278856,2024-01-20
2025-00040,Air Pollution,Atwater Village,34.153209,-118.278856,2024-02-09
2025-00053,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-02-20
2025-00042,Water Waste,Atwater Village,34.153209,-118.278856,2024-03-29
2025-00069,Air Pollution,Atwater Village,34.153209,-118.278856,2024-04-01
2025-00044,Water Waste,Atwater Village,34.153209,-118.278856,2024-04-02
2025-00068,Water Waste,Atwater Village,34.153209,-118.278856,2024-04-11
2025-00054,Air Pollution,Atwater Village,34.153209,-118.278856,2024-04-15
2025-00039,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-04-20
2025-00041,Noise,Atwater Village,34.153209,-118.278856,2024-04-23
2025-00051,Water Waste,Atwater Village,34.153209,-118.278856,2024-05-24
2025-00064,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-06-01
2025-00062,Air Pollution,Atwater Village,34.153209,-118.278856,2024-06-03
2025-00071,Air Pollution,Atwater Village,34.153209,-118.278856,2024-06-16
2025-00045,Water Waste,Atwater Village,34.153209,-118.278856,2024-06-22
2025-00066,Noise,Atwater Village,34.153209,-118.278856,2024-06-25
2025-00060,Water Waste,Atwater Village,34.153209,-118.278856,2024-08-20
2025-00049,Air Pollution,Atwater Village,34.153209,-118.278856,2024-08-23
2025-00048,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-09-25
2025-00043,Noise,Atwater Village,34.153209,-118.278856,2024-10-03
2025-00070,Air Pollution,Atwater Village,34.153209,-118.278856,2024-10-19
2025-00047,Water Waste,Atwater Village,34.153209,-118.278856,2024-10-25
2025-00072,Air Pollution,Atwater Village,34.153209,-118.278856,2024-10-29
2025-00056,Water Waste,Atwater Village,34.153209,-118.278856,2024-11-20
2025-00067,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-11-22
2025-00058,Water Waste,Atwater Village,34.153209,-118.278856,2024-11-25
2025-00046,Illegal Dumping,Atwater Village,34.153209,-118.278856,2024-12-10
2025-00061,Air Pollution,Atwater Village,34.153209,-118.278856,2024-12-16
2025-00059,Air Pollution,Atwater Village,34.153209,-118.278856,2024-12-18
2025-00063,Noise,Atwater Village,34.153209,-118.278856,2024-12-20
2025-00057,Water Waste,Atwater Village,34.153209,-118.278856,2024-12-28
2025-00052,Illegal Dumping,Atwater Village,34.153209,-118.278856,2025-01-01
2025-00079,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-01-03
2025-00077,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-01-25
2025-00104,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-02-24
2025-00105,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-02-29
2025-00074,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-03-06
2025-00097,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-03-24
2025-00085,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-03-28
2025-00098,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-04-03
2025-00082,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-04-09
2025-00083,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-04-12
2025-00088,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-04-17
2025-00099,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-04-29
2025-00075,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-05-25
2025-00100,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-06-12
2025-00078,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-07-07
2025-00084,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-07-10
2025-00102,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-07-11
2025-00080,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-07-30
2025-00094,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-08-17
2025-00090,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-08-19
2025-00101,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-08-23
2025-00086,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-09-08
2025-00103,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-09-09
2025-00089,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-09-19
2025-00092,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-09-23
2025-00076,Water Waste,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-10-24
2025-00073,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-11-01
2025-00087,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-11-15
2025-00095,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-11-19
2025-00096,Air Pollution,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-11-20
2025-00091,Illegal Dumping,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-12-10
2025-00081,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-12-18
2025-00093,Noise,Baldwin Hills/Crenshaw,34.025316,-118.361022,2024-12-24
2025-00106,Illegal Dumping,Bel-Air,34.130774,-118.461647,2024-01-11
2025-00107,Illegal Dumping,Bel-Air,34.130774,-118.461647,2024-01-14
2025-00126,Air Pollution,Bel-Air,34.130774,-118.461647,2024-03-19
2025-00123,Air Pollution,Bel-Air,34.130774,-118.461647,2024-05-08
2025-00115,Air Pollution,Bel-Air,34.130774,-118.461647,2024-06-23
2025-00117,Illegal Dumping,Bel-Air,34.130774,-118.461647,2024-06-27
2025-00109,Water Waste,Bel-Air,34.130774,-118.461647,2024-06-30
2025-00108,Water Waste,Bel-Air,34.130774,-118.461647,2024-07-01
2025-00112,Noise,Bel-Air,34.130774,-118.461647,2024-07-10
2025-00110,Air Pollution,Bel-Air,34.130774,-118.461647,2024-07-24
2025-00122,Illegal Dumping,Bel-Air,34.130774,-118.461647,2024-08-02
2025-00118,Illegal Dumping,Bel-Air,34.130774,-118.461647,2024-08-03
2025-00125,Water Waste,Bel-Air,34.130774,-118.461647,2024-08-18
2025-00119,Air Pollution,Bel-Air,34.130774,-118.461647,2024-08-19
2025-00124,Water Waste,Bel-Air,34.130774,-118.461647,2024-08-30
2025-00111,Water Waste,Bel-Air,34.130774,-118.461647,2024-09-13
2025-00113,Water Waste,Bel-Air,34.130774,-118.461647,2024-10-01
2025-00116,Water Waste,Bel-Air,34.130774,-118.461647,2024-10-04
2025-00114,Water Waste,Bel-Air,34.130774,-118.461647,2024-12-01
2025-00120,Water Waste,Bel-Air,34.130774,-118.461647,2024-12-04
2025-00121,Water Waste,Bel-Air,34.130774,-118.461647,2024-12-06
2025-00139,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-01-06
2025-00127,Water Waste,Beverly Crest,34.079203,-118.429096,2024-01-14
2025-00132,Water Waste,Beverly Crest,34.079203,-118.429096,2024-01-29
2025-00134,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-04-03
2025-00128,Air Pollution,Beverly Crest,34.079203,-118.429096,2024-04-20
2025-00135,Noise,Beverly Crest,34.079203,-118.429096,2024-05-06
2025-00138,Air Pollution,Beverly Crest,34.079203,-118.429096,2024-05-09
2025-00129,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-07-13
2025-00136,Air Pollution,Beverly Crest,34.079203,-118.429096,2024-07-19
2025-00140,Water Waste,Beverly Crest,34.079203,-118.429096,2024-07-21
2025-00141,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-09-07
2025-00137,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-09-10
2025-00130,Illegal Dumping,Beverly Crest,34.079203,-118.429096,2024-09-30
2025-00133,Water Waste,Beverly Crest,34.079203,-118.429096,2024-10-26
2025-00131,Water Waste,Beverly Crest,34.079203,-118.429096,2024-12-22
2025-00156,Water Waste,Beverly Grove,34.090261,-118.372510,2024-02-11
2025-00154,Air Pollution,Beverly Grove,34.090261,-118.372510,2024-02-23
2025-00145,Illegal Dumping,Beverly Grove,34.090261,-118.372510,2024-02-26
2025-00149,Noise,Beverly Grove,34.090261,-118.372510,2024-04-05
2025-00146,Noise,Beverly Grove,34.090261,-118.372510,2024-04-22
2025-00151,Noise,Beverly Grove,34.090261,-118.372510,2024-05-07
2025-00144,Illegal Dumping,Beverly Grove,34.090261,-118.372510,2024-05-29
2025-00143,Air Pollution,Beverly Grove,34.090261,-118.372510,2024-06-02
2025-00157,Water Waste,Beverly Grove,34.090261,-118.372510,2024-06-07
2025-00150,Water Waste,Beverly Grove,34.090261,-118.372510,2024-07-30
2025-00142,Noise,Beverly Grove,34.090261,-118.372510,2024-08-09
2025-00152,Illegal Dumping,Beverly Grove,34.090261,-118.372510,2024-08-10
2025-00148,Noise,Beverly Grove,34.090261,-118.372510,2024-08-17
2025-00147,Illegal Dumping,Beverly Grove,34.090261,-118.372510,2024-09-22
2025-00155,Illegal Dumping,Beverly Grove,34.090261,-118.372510,2024-09-24
2025-00153,Water Waste,Beverly Grove,34.090261,-118.372510,2024-11-10
2025-00159,Water Waste,Beverlywood,34.046749,-118.386092,2024-02-02
2025-00160,Air Pollution,Beverlywood,34.046749,-118.386092,2024-04-12
2025-00163,Noise,Beverlywood,34.046749,-118.386092,2024-09-15
2025-00161,Water Waste,Beverlywood,34.046749,-118.386092,2024-10-15
2025-00162,Noise,Beverlywood,34.046749,-118.386092,2024-10-25
2025-00158,Water Waste,Beverlywood,34.046749,-118.386092,2024-12-02
2025-00164,Noise,Beverlywood,34.046749,-118.386092,2024-12-13
2025-00173,Air Pollution,Boyle Heights,34.060770,-118.192629,2024-01-24
2025-00168,Illegal Dumping,Boyle Heights,34.060770,-118.192629,2024-03-27
2025-00176,Noise,Boyle Heights,34.060770,-118.192629,2024-05-08
2025-00170,Air Pollution,Boyle Heights,34.060770,-118.192629,2024-05-23
2025-00177,Noise,Boyle Heights,34.060770,-118.192629,2024-06-03
2025-00167,Air Pollution,Boyle Heights,34.060770,-118.192629,2024-06-04
2025-00175,Noise,Boyle Heights,34.060770,-118.192629,2024-06-30
2025-00174,Illegal Dumping,Boyle Heights,34.060770,-118.192629,2024-09-15
2025-00171,Air Pollution,Boyle Heights,34.060770,-118.192629,2024-09-28
2025-00172,Air Pollution,Boyle Heights,34.060770,-118.192629,2024-11-05
2025-00165,Water Waste,Boyle Heights,34.060770,-118.192629,2024-11-25
2025-00169,Noise,Boyle Heights,34.060770,-118.192629,2024-12-11
2025-00166,Illegal Dumping,Boyle Heights,34.060770,-118.192629,2024-12-19
2025-00178,Water Waste,Brentwood,34.130958,-118.490139,2024-01-28
2025-00192,Air Pollution,Brentwood,34.130958,-118.490139,2024-03-04
2025-00186,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-03-25
2025-00191,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-04-16
2025-00181,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-04-22
2025-00183,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-05-03
2025-00196,Noise,Brentwood,34.130958,-118.490139,2024-05-03
2025-00205,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-05-10
2025-00185,Air Pollution,Brentwood,34.130958,-118.490139,2024-05-11
2025-00201,Water Waste,Brentwood,34.130958,-118.490139,2024-05-12
2025-00187,Air Pollution,Brentwood,34.130958,-118.490139,2024-05-19
2025-00195,Noise,Brentwood,34.130958,-118.490139,2024-06-01
2025-00179,Noise,Brentwood,34.130958,-118.490139,2024-06-15
2025-00180,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-06-16
2025-00194,Noise,Brentwood,34.130958,-118.490139,2024-06-19
2025-00207,Water Waste,Brentwood,34.130958,-118.490139,2024-07-02
2025-00188,Air Pollution,Brentwood,34.130958,-118.490139,2024-08-07
2025-00182,Noise,Brentwood,34.130958,-118.490139,2024-08-08
2025-00209,Water Waste,Brentwood,34.130958,-118.490139,2024-09-03
2025-00189,Water Waste,Brentwood,34.130958,-118.490139,2024-09-14
2025-00208,Noise,Brentwood,34.130958,-118.490139,2024-09-18
2025-00202,Water Waste,Brentwood,34.130958,-118.490139,2024-09-21
2025-00204,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-10-16
2025-00200,Noise,Brentwood,34.130958,-118.490139,2024-10-19
2025-00206,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-10-25
2025-00184,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-10-29
2025-00198,Air Pollution,Brentwood,34.130958,-118.490139,2024-11-18
2025-00193,Noise,Brentwood,34.130958,-118.490139,2024-11-20
2025-00203,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-12-02
2025-00190,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-12-08
2025-00199,Illegal Dumping,Brentwood,34.130958,-118.490139,2024-12-16
2025-00197,Noise,Brentwood,34.130958,-118.490139,2024-12-30
2025-00226,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-01-14
2025-00210,Noise,Broadway-Manchester,33.929189,-118.269543,2024-01-24
2025-00213,Water Waste,Broadway-Manchester,33.929189,-118.269543,2024-01-25
2025-00228,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-02-05
2025-00220,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-02-27
2025-00224,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-02-28
2025-00216,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-03-26
2025-00221,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-05-31
2025-00223,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-06-02
2025-00222,Noise,Broadway-Manchester,33.929189,-118.269543,2024-06-26
2025-00225,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-07-06
2025-00227,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-07-06
2025-00214,Noise,Broadway-Manchester,33.929189,-118.269543,2024-07-09
2025-00212,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-08-05
2025-00218,Noise,Broadway-Manchester,33.929189,-118.269543,2024-08-07
2025-00230,Air Pollution,Broadway-Manchester,33.929189,-118.269543,2024-09-29
2025-00219,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-10-29
2025-00217,Noise,Broadway-Manchester,33.929189,-118.269543,2024-11-06
2025-00211,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-11-17
2025-00229,Water Waste,Broadway-Manchester,33.929189,-118.269543,2024-11-22
2025-00215,Illegal Dumping,Broadway-Manchester,33.929189,-118.269543,2024-12-01
2025-00250,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-01-26
2025-00236,Noise,Canoga Park,34.233046,-118.588541,2024-02-02
2025-00252,Air Pollution,Canoga Park,34.233046,-118.588541,2024-02-10
2025-00239,Noise,Canoga Park,34.233046,-118.588541,2024-02-16
2025-00249,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-04-11
2025-00235,Air Pollution,Canoga Park,34.233046,-118.588541,2024-04-30
2025-00253,Noise,Canoga Park,34.233046,-118.588541,2024-05-21
2025-00256,Water Waste,Canoga Park,34.233046,-118.588541,2024-05-21
2025-00232,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-06-11
2025-00237,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-06-17
2025-00246,Noise,Canoga Park,34.233046,-118.588541,2024-07-01
2025-00234,Water Waste,Canoga Park,34.233046,-118.588541,2024-07-02
2025-00257,Noise,Canoga Park,34.233046,-118.588541,2024-07-02
2025-00251,Air Pollution,Canoga Park,34.233046,-118.588541,2024-07-17
2025-00243,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-08-16
2025-00238,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-08-21
2025-00247,Water Waste,Canoga Park,34.233046,-118.588541,2024-08-25
2025-00233,Noise,Canoga Park,34.233046,-118.588541,2024-09-25
2025-00240,Air Pollution,Canoga Park,34.233046,-118.588541,2024-09-25
2025-00241,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-09-29
2025-00242,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-10-24
2025-00258,Water Waste,Canoga Park,34.233046,-118.588541,2024-10-26
2025-00255,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-11-05
2025-00231,Noise,Canoga Park,34.233046,-118.588541,2024-11-09
2025-00248,Air Pollution,Canoga Park,34.233046,-118.588541,2024-11-15
2025-00244,Air Pollution,Canoga Park,34.233046,-118.588541,2024-11-25
2025-00245,Air Pollution,Canoga Park,34.233046,-118.588541,2024-12-03
2025-00254,Illegal Dumping,Canoga Park,34.233046,-118.588541,2024-12-30
2025-00282,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-01-03
2025-00268,Noise,Central-Alameda,34.021906,-118.246050,2024-02-10
2025-00270,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-03-02
2025-00280,Noise,Central-Alameda,34.021906,-118.246050,2024-03-11
2025-00278,Noise,Central-Alameda,34.021906,-118.246050,2024-03-26
2025-00263,Noise,Central-Alameda,34.021906,-118.246050,2024-05-31
2025-00281,Water Waste,Central-Alameda,34.021906,-118.246050,2024-06-10
2025-00264,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-06-16
2025-00269,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-07-27
2025-00272,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-07-28
2025-00267,Illegal Dumping,Central-Alameda,34.021906,-118.246050,2024-08-18
2025-00274,Water Waste,Central-Alameda,34.021906,-118.246050,2024-09-15
2025-00259,Noise,Central-Alameda,34.021906,-118.246050,2024-09-16
2025-00273,Water Waste,Central-Alameda,34.021906,-118.246050,2024-09-21
2025-00262,Air Pollution,Central-Alameda,34.021906,-118.246050,2024-10-04
2025-00277,Illegal Dumping,Central-Alameda,34.021906,-118.246050,2024-10-06
2025-00261,Illegal Dumping,Central-Alameda,34.021906,-118.246050,2024-10-27
2025-00266,Water Waste,Central-Alameda,34.021906,-118.246050,2024-10-31
2025-00284,Water Waste,Central-Alameda,34.021906,-118.246050,2024-11-17
2025-00283,Noise,Central-Alameda,34.021906,-118.246050,2024-11-24
2025-00265,Illegal Dumping,Central-Alameda,34.021906,-118.246050,2024-11-29
2025-00276,Noise,Central-Alameda,34.021906,-118.246050,2024-11-29
2025-00279,Water Waste,Central-Alameda,34.021906,-118.246050,2024-11-30
2025-00275,Water Waste,Central-Alameda,34.021906,-118.246050,2024-12-09
2025-00271,Noise,Central-Alameda,34.021906,-118.246050,2024-12-21
2025-00260,Water Waste,Central-Alameda,34.021906,-118.246050,2024-12-30
2025-00286,Illegal Dumping,Century City,34.060733,-118.412665,2024-01-08
2025-00285,Air Pollution,Century City,34.060733,-118.412665,2024-04-03
2025-00289,Illegal Dumping,Chatsworth,34.212904,-118.662753,2024-01-02
2025-00298,Air Pollution,Chatsworth,34.212904,-118.662753,2024-01-06
2025-00287,Illegal Dumping,Chatsworth,34.212904,-118.662753,2024-01-22
2025-00297,Noise,Chatsworth,34.212904,-118.662753,2024-01-31
2025-00293,Water Waste,Chatsworth,34.212904,-118.662753,2024-02-07
2025-00291,Water Waste,Chatsworth,34.212904,-118.662753,2024-02-21
2025-00294,Illegal Dumping,Chatsworth,34.212904,-118.662753,2024-05-27
2025-00290,Water Waste,Chatsworth,34.212904,-118.662753,2024-06-05
2025-00299,Water Waste,Chatsworth,34.212904,-118.662753,2024-06-29
2025-00292,Noise,Chatsworth,34.212904,-118.662753,2024-07-15
2025-00296,Noise,Chatsworth,34.212904,-118.662753,2024-09-13
2025-00288,Illegal Dumping,Chatsworth,34.212904,-118.662753,2024-10-14
2025-00295,Illegal Dumping,Chatsworth,34.212904,-118.662753,2024-11-18
2025-00305,Water Waste,Chatsworth Reservoir,34.238831,-118.620200,2024-02-16
2025-00309,Air Pollution,Chatsworth Reservoir,34.238831,-118.620200,2024-04-01
2025-00303,Illegal Dumping,Chatsworth Reservoir,34.238831,-118.620200,2024-04-10
2025-00313,Air Pollution,Chatsworth Reservoir,34.238831,-118.620200,2024-04-25
2025-00304,Noise,Chatsworth Reservoir,34.238831,-118.620200,2024-05-14
2025-00314,Noise,Chatsworth Reservoir,34.238831,-118.620200,2024-05-31
2025-00308,Air Pollution,Chatsworth Reservoir,34.238831,-118.620200,2024-06-24
2025-00307,Water Waste,Chatsworth Reservoir,34.238831,-118.620200,2024-08-03
2025-00300,Water Waste,Chatsworth Reservoir,34.238831,-118.620200,2024-08-09
2025-00310,Noise,Chatsworth Reservoir,34.238831,-118.620200,2024-09-22
2025-00301,Illegal Dumping,Chatsworth Reservoir,34.238831,-118.620200,2024-09-29
2025-00315,Illegal Dumping,Chatsworth Reservoir,34.238831,-118.620200,2024-11-09
2025-00312,Illegal Dumping,Chatsworth Reservoir,34.238831,-118.620200,2024-12-06
2025-00311,Air Pollution,Chatsworth Reservoir,34.238831,-118.620200,2024-12-12
2025-00306,Air Pollution,Chatsworth Reservoir,34.238831,-118.620200,2024-12-17
2025-00302,Noise,Chatsworth Reservoir,34.238831,-118.620200,2024-12-31
2025-00326,Noise,Chesterfield Square,33.974575,-118.308979,2024-01-14
2025-00322,Air Pollution,Chesterfield Square,33.974575,-118.308979,2024-02-04
2025-00329,Noise,Chesterfield Square,33.974575,-118.308979,2024-02-04
2025-00319,Water Waste,Chesterfield Square,33.974575,-118.308979,2024-02-15
2025-00321,Water Waste,Chesterfield Square,33.974575,-118.308979,2024-02-27
2025-00316,Water Waste,Chesterfield Square,33.974575,-118.308979,2024-03-14
2025-00318,Noise,Chesterfield Square,33.974575,-118.308979,2024-04-27
2025-00327,Illegal Dumping,Chesterfield Square,33.974575,-118.308979,2024-06-27
2025-00323,Water Waste,Chesterfield Square,33.974575,-118.308979,2024-07-13
2025-00320,Air Pollution,Chesterfield Square,33.974575,-118.308979,2024-07-14
2025-00324,Noise,Chesterfield Square,33.974575,-118.308979,2024-10-03
2025-00328,Noise,Chesterfield Square,33.974575,-118.308979,2024-10-22
2025-00317,Illegal Dumping,Chesterfield Square,33.974575,-118.308979,2024-10-24
2025-00325,Illegal Dumping,Chesterfield Square,33.974575,-118.308979,2024-11-10
2025-00344,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-01-02
2025-00335,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-01-21
2025-00348,Noise,Cheviot Hills,34.044261,-118.398882,2024-01-27
2025-00347,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-03-06
2025-00331,Noise,Cheviot Hills,34.044261,-118.398882,2024-04-16
2025-00332,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-04-28
2025-00333,Noise,Cheviot Hills,34.044261,-118.398882,2024-05-06
2025-00342,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-05-09
2025-00352,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-05-27
2025-00337,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-05-28
2025-00340,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-06-02
2025-00338,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-06-13
2025-00345,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-06-29
2025-00353,Noise,Cheviot Hills,34.044261,-118.398882,2024-07-07
2025-00341,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-07-18
2025-00334,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-08-13
2025-00354,Air Pollution,Cheviot Hills,34.044261,-118.398882,2024-08-17
2025-00346,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-09-01
2025-00336,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-09-08
2025-00351,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-09-20
2025-00330,Noise,Cheviot Hills,34.044261,-118.398882,2024-10-02
2025-00350,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-10-29
2025-00343,Illegal Dumping,Cheviot Hills,34.044261,-118.398882,2024-11-05
2025-00339,Water Waste,Cheviot Hills,34.044261,-118.398882,2024-12-08
2025-00349,Noise,Cheviot Hills,34.044261,-118.398882,2024-12-16
2025-00378,Illegal Dumping,Chinatown,34.067578,-118.224734,2024-01-02
2025-00366,Water Waste,Chinatown,34.067578,-118.224734,2024-01-10
2025-00372,Illegal Dumping,Chinatown,34.067578,-118.224734,2024-01-13
